Match_ID,Match_Date,Match,Winner,Loser,WinLoss,Championship_Match,Promotion,Match_Type,Stipulation,Event,Event_Name,Event_Type
2326,2025-12-13,Gunther vs John Cena,Gunther,John Cena,Loss,Exhibition,WWE,Singles,No Stipulation,WWE Saturday Night's Main Event ,WWE Saturday Night's Main Event ,PPV/PLE
2325,2025-11-29,Dominik Mysterio vs John Cena,Dominik Mysterio,John Cena,Loss,WWE Intercontinental Championship,WWE,Singles,No Stipulation,WWE Survivor Series 2025 - WarGames,WWE Survivor Series ,PPV/PLE
2324,2025-11-17,"John Cena, Rey Mysterio & Sheamus vs The Judgment Day (Dominik Mysterio, Finn Balor & JD McDonagh)","John Cena, Rey Mysterio & Sheamus","The Judgment Day (Dominik Mysterio, Finn Balor & JD McDonagh)",Win,Exhibition,WWE,3 vs 3 Tag Team,No Stipulation,WWE Monday Night RAW ,WWE Monday Night RAW,Televised
2323,2025-11-10,John Cena vs Dominik Mysterio,John Cena,Dominik Mysterio,Win,WWE Intercontinental Championship,WWE,Singles,No Stipulation,WWE Monday Night RAW ,WWE Monday Night RAW,Televised
2322,2025-10-11,John Cena vs AJ Styles,John Cena,AJ Styles,Win,Exhibition,WWE,Singles,No Stipulation,WWE Crown Jewel 2025,WWE Crown Jewel ,PPV/PLE
2321,2025-09-20,Brock Lesnar vs John Cena,Brock Lesnar,John Cena,Loss,Exhibition,WWE,Singles,No Stipulation,WWE Wrestlepalooza,WWE Wrestlepalooza,PPV/PLE
2320,2025-09-05,Sami Zayn vs. John Cena,No Contest,No Contest,No Contest,WWE United States Championship,WWE,Singles,No Stipulation,WWE Friday Night SmackDown ,WWE SmackDown,Televised
2319,2025-08-31,John Cena vs Logan Paul,John Cena,Logan Paul,Win,Exhibition,WWE,Singles,No Stipulation,WWE Clash In Paris,WWE Clash In Paris,PPV/PLE
2318,2025-08-08,Cody Rhodes & John Cena vs Drew McIntyre & Logan Paul,Cody Rhodes & John Cena,Drew McIntyre & Logan Paul,Win,Exhibition,WWE,2 vs 2 Tag Team,No Stipulation,WWE Friday Night SmackDown ,WWE SmackDown,Televised
2317,2025-08-03,Cody Rhodes vs John Cena,Cody Rhodes,John Cena,Loss,WWE Undisputed Championship,WWE,Singles,Street Fight,WWE SummerSlam 2025 - Sunday,WWE SummerSlam ,PPV/PLE
2316,2025-06-28,John Cena vs CM Punk,John Cena,CM Punk,Win,WWE Undisputed Championship,WWE,Singles,No Stipulation,WWE Night Of Champions 2025,WWE Night Of Champions ,PPV/PLE
2315,2025-06-20,R-Truth vs John Cena,R-Truth,John Cena,Loss,Exhibition,WWE,Singles,No Stipulation,WWE Friday Night SmackDown ,WWE SmackDown,Televised
2314,2025-06-07,Cody Rhodes & Jey Uso vs John Cena & Logan Paul,Cody Rhodes & Jey Uso,John Cena & Logan Paul,Loss,Exhibition,WWE,2 vs 2 Tag Team,No Stipulation,WWE Money In The Bank 2025,WWE Money In The Bank ,PPV/PLE
2313,2025-05-24,John Cena vs R-Truth,John Cena,R-Truth,Win,Exhibition,WWE,Singles,No Stipulation,WWE Saturday Night's Main Event ,WWE Saturday Night's Main Event ,Televised
2312,2025-05-10,John Cena vs Randy Orton,John Cena,Randy Orton,Win,WWE Undisputed Championship,WWE,Singles,No Stipulation,WWE Backlash 2025,WWE Backlash ,PPV/PLE
2311,2025-04-20,John Cena vs Cody Rhodes,John Cena,Cody Rhodes,Win,WWE Undisputed Championship,WWE,Singles,No Stipulation,WWE WrestleMania 41 - Sunday,WWE WrestleMania,PPV/PLE
